title,place_id,hours,latitude,longitude,address,directions
Indomaret Kusuma Bangsa,15249179271395873108,Open 24 hours,-7.252653899999999,112.749444,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Kusuma+Bangsa,+Jl.+Kusuma+Bangsa+No.49,+Ketabang,+Genteng,+Surabaya+City,+East+Java+60272,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f96554739697:0xd39ff7c0f3cd1154?sa=X"
Indomaret,5398397139626411963,Open ⋅ Closes 10PM,-7.2569989,112.7542378,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Residen+Sudirman+No.9,+Pacar+Keling,+Tambaksari,+Surabaya+City,+East+Java+60131,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f97a6237e51d:0x4aeaf598b7eac7bb?sa=X"
Indomaret Tambaksari,11573068220092361680,Open ⋅ Closes 10PM,-7.2529759,112.7548078,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Tambaksari,+Jl.+Tambaksari+No.39,+Tambaksari,+Surabaya+City,+East+Java+60136,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f97746bdced1:0xa09bcc3abbf7abd0?sa=X"
Indomaret,14469354397490257712,Open ⋅ Closes 10:30PM,-7.260044299999999,112.74422450000002,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Walikota+Mustajab+No.32,+RW.05,+Ketabang,+Kec.+Genteng,+Kota+SBY,+Jawa+Timur+60272,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f9668ff047cf:0xc8cd79299fa49f30?sa=X"
Indomaret Gubeng Airlangga II,5585660869753509895,Open ⋅ Closes 10PM,-7.272308000000001,112.75612419999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Gubeng+Airlangga+II,+Jl.+Gubeng+Airlangga+II+No.5,+Airlangga,+Gubeng,+Surabaya+City,+East+Java+60286,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbd1455acab3:0x4d8440f789751807?sa=X"
Indomaret Point,5032186393624016819,Open 24 hours,-7.265212999999999,112.75198879999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Point,+Jl.+Gubeng+Masjid,+Pacar+Keling,+Tambaksari,+Surabaya+City,+East+Java+60131,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fa2b63bee1cd:0x45d5eadd038377b3?sa=X"
Indomaret Raya Kenjeran,7058277229577412017,Open 24 hours,-7.2404454,112.7514107,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Raya+Kenjeran,+Jl.+Kapasan+No.47,+RT.001%2FRW.03,+Kapasan,+Kec.+Simokerto,+Kota+SBY,+Jawa+Timur+60141,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f90e1bbcd8b3:0x61f409be73309db1?sa=X"
Indomaret,13645565924435728229,Open ⋅ Closes 10PM,-7.2764940000000005,112.7570629,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//PQF4%2BCR4+Indomaret,+Jl.+Gubeng+Kertajaya+VII+C,+Airlangga,+Gubeng,+Surabaya+City,+East+Java+60286,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbcdfe6f8969:0xbd5ec9e9352a9765?sa=X"
Indomaret,2387155498577273204,Open 24 hours,-7.266205899999999,112.76458079999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Dharmahusada+No.56,+Mojo,+Gubeng,+Surabaya+City,+East+Java+60285,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fa2a9ed1ee11:0x2120e1473c51a174?sa=X"
Indomaret Dharmawangsa 41,9509825367151571586,Open ⋅ Closes 10PM,-7.2746974999999985,112.75645250000001,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Dharmawangsa+41,+Jl.+Dharmawangsa+No.41,+Airlangga,+Gubeng,+Surabaya+City,+East+Java+60286,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbd1dcc9f23f:0x83f9afc945117282?sa=X"
Indomaret,7556691229718407089,Temporarily closed,-7.250328099999999,112.7640388,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Kapas+Krampung+No.190,+RT.012%2FRW.05,+Ploso,+Kec.+Tambaksari,+Kota+SBY,+Jawa+Timur+60133,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f99e0ea61fa5:0x68dec2a2e8ace7b1?sa=X"
Indomaret,3155643440504196420,Open ⋅ Closes 10PM,-7.2671961,112.76110849999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Karang+Menjangan+No.19,+Mojo,+Gubeng,+Surabaya+City,+East+Java+60285,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbd514976711:0x2bcb18fd650b4d44?sa=X"
Indomaret Drive Thru Raya Gubeng,7720950559294659415,Open ⋅ Closes 10PM,-7.2730361,112.74714039999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Drive+Thru+Raya+Gubeng,+Jl.+Raya+Gubeng+No.64-I,+Gubeng,+Surabaya+City,+East+Java+60281,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbdbb812afcd:0x6b2653a0571c9b57?sa=X"
Indomaret,2098432944542620042,Open ⋅ Closes 10:15PM,-7.240416999999999,112.743888,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Waspada+No.22,+Bongkaran,+Kec.+Pabean+Cantikan,+Kota+SBY,+Jawa+Timur+60161,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f916c75b2219:0x1d1f21a52470998a?sa=X"
Indomaret,9523650924026330172,Open 24 hours,-7.280525399999998,112.75600139999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Pucang+Anom+Tim.+No.1,+Kertajaya,+Kec.+Gubeng,+Kota+SBY,+Jawa+Timur+60282,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbceba5f6c2b:0x842ace0e9368fc3c?sa=X"
Indomaret,10784312147570886889,Open ⋅ Closes 10PM,-7.248638999999999,112.76905430000001,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Putro+Agung+Wetan+No.56,+Ploso,+Tambaksari,+Surabaya+City,+East+Java+60133,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f999328ad98f:0x95a992c2aee488e9?sa=X"
Indomaret,18374915638961048721,Open ⋅ Closes 12AM,-7.26938,112.741407,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret,+Jl.+Basuki+Rahmat+No.88-89,+Embong+Kaliasin,+Genteng,+Surabaya+City,+East+Java+60271,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbdfad0d58b5:0xff00d06b4e0b0c91?sa=X"
Indomaret Plus Dharmahusada,16585523657115006556,Open 24 hours,-7.263966099999999,112.7720329,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Plus+Dharmahusada,+Jl.+Kaliwaron+No.39,+Mojo,+Kec.+Gubeng,+Kota+SBY,+Jawa+Timur+60285,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7f987a1815c4f:0xe62b9de46c2d765c?sa=X"
Indomaret Raya Kertajaya(TWJT),17033135946320217305,Open ⋅ Closes 10PM,-7.277202600000001,112.7507689,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Raya+Kertajaya(TWJT),+Jl.+Kertajaya+No.3,+Gubeng,+Surabaya+City,+East+Java+60281,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbc559f9bb01:0xec61dae5d35a84d9?sa=X"
Indomaret Point Mojopahit,2076923261317978908,Open 24 hours,-7.2811957,112.74418139999999,Jl. Kusuma Bangsa No.49,"https://www.google.com/maps/dir//Indomaret+Point+Mojopahit,+Jl.+Mojopahit+No.1,+Keputran,+Kec.+Tegalsari,+Kota+SBY,+Jawa+Timur+60265,+Indonesia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2dd7fbc3efacab0f:0x1cd2b6b3c09a9b1c?sa=X"
