Unnamed: 0,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Unnamed: 11
,1.0,Bitcoin1BTC,"$20,408.10",2.36%,4.91%,2.30%,"$389.66B$389,661,132,299","$28,472,200,8511,395,142 BTC","19,093,450 BTC",,
,2.0,Ethereum2ETH,"$1,142.54",4.05%,7.80%,6.21%,"$138.87B$138,868,318,134","$14,524,217,78512,712,256 ETH","121,543,869 ETH",,
,3.0,Tether3USDT,$0.9994,0.01%,0.01%,0.02%,"$65.89B$65,891,833,090","$45,503,289,41045,530,288,822 USDT","65,930,930,060 USDT",,
,4.0,USD Coin4USDC,$0.9999,0.02%,0.02%,0.02%,"$55.33B$55,327,909,601","$5,104,251,4445,104,527,271 USDC","55,330,899,449 USDC",,
,5.0,BNB5BNB,$236.60,2.76%,6.26%,1.71%,"$38.63B$38,630,929,764","$1,396,472,5085,902,312 BNB","163,276,975 BNB",,
,6.0,Binance USD6BUSD,$1.00,0.15%,0.07%,0.09%,"$17.56B$17,564,532,879","$5,728,519,1115,722,874,095 BUSD","17,547,224,379 BUSD",,
,7.0,XRP7XRP,$0.3211,1.59%,3.08%,3.95%,"$15.52B$15,523,818,643","$1,080,707,2863,365,456,844 XRP","48,343,101,197 XRP",,
,8.0,Cardano8ADA,$0.4325,2.09%,3.62%,8.04%,"$14.60B$14,598,045,931","$831,720,6331,923,045,381 ADA","33,752,565,071 ADA",,
,9.0,Solana9SOL,$35.17,3.06%,5.90%,8.11%,"$12.16B$12,155,590,202","$1,144,465,80132,536,461 SOL","345,575,979 SOL",,
,10.0,Dogecoin10DOGE,$0.0612,0.94%,2.99%,12.62%,"$8.12B$8,119,042,884","$339,134,5525,541,692,649 DOGE","132,670,764,300 DOGE",,
,,DaiDAI,$1.00,,,,,,,,
,,PolkadotDOT,$6.55,,,,,,,,
,,TRONTRX,$0.07,,,,,,,,
,,Shiba InuSHIB,$0.00,,,,,,,,
,,PolygonMATIC,$0.67,,,,,,,,
,,AvalancheAVAX,$18.73,,,,,,,,
,,UNUS SED LEOLEO,$5.43,,,,,,,,
,,Wrapped BitcoinWBTC,$20342.74,,,,,,,,
,,UniswapUNI,$6.48,,,,,,,,
,,LitecoinLTC,$50.03,,,,,,,,
,,FTX TokenFTT,$25.52,,,,,,,,
,,CronosCRO,$0.12,,,,,,,,
,,ChainlinkLINK,$6.24,,,,,,,,
,,StellarXLM,$0.10,,,,,,,,
,,NEAR ProtocolNEAR,$3.38,,,,,,,,
,,CosmosATOM,$8.50,,,,,,,,
,,MoneroXMR,$130.11,,,,,,,,
,,AlgorandALGO,$0.31,,,,,,,,
,,Ethereum ClassicETC,$14.47,,,,,,,,
,,Bitcoin CashBCH,$102.27,,,,,,,,
,,Internet ComputerICP,$6.66,,,,,,,,
,,VeChainVET,$0.02,,,,,,,,
,,FlowFLOW,$1.51,,,,,,,,
,,DecentralandMANA,$0.82,,,,,,,,
,,The SandboxSAND,$1.17,,,,,,,,
,,TezosXTZ,$1.53,,,,,,,,
,,ApeCoinAPE,$4.57,,,,,,,,
,,HederaHBAR,$0.06,,,,,,,,
,,ElrondEGLD,$56.70,,,,,,,,
,,FilecoinFIL,$5.34,,,,,,,,
,,TrueUSDTUSD,$1.00,,,,,,,,
,,AaveAAVE,$82.90,,,,,,,,
,,Theta NetworkTHETA,$1.15,,,,,,,,
,,QuantQNT,$94.62,,,,,,,,
,,Axie InfinityAXS,$13.51,,,,,,,,
,,HeliumHNT,$8.83,,,,,,,,
,,Bitcoin SVBSV,$51.82,,,,,,,,
,,Pax DollarUSDP,$1.00,,,,,,,,
,,EOSEOS,$0.95,,,,,,,,
,,KuCoin TokenKCS,$9.04,,,,,,,,
,,MakerMKR,$865.29,,,,,,,,
,,ZcashZEC,$54.94,,,,,,,,
,,BitTorrent-NewBTT,$0.00,,,,,,,,
,,Neutrino USDUSDN,$1.00,,,,,,,,
,,OKBOKB,$12.54,,,,,,,,
,,IOTAMIOTA,$0.27,,,,,,,,
,,eCashXEC,$0.00,,,,,,,,
,,THORChainRUNE,$2.20,,,,,,,,
,,USDDUSDD,$1.00,,,,,,,,
,,Huobi TokenHT,$4.47,,,,,,,,
,,KlaytnKLAY,$0.22,,,,,,,,
,,The GraphGRT,$0.09,,,,,,,,
,,FantomFTM,$0.24,,,,,,,,
,,ChilizCHZ,$0.10,,,,,,,,
,,NeoNEO,$8.47,,,,,,,,
,,Curve DAO TokenCRV,$1.08,,,,,,,,
,,PAX GoldPAXG,$1716.07,,,,,,,,
,,Basic Attention TokenBAT,$0.37,,,,,,,,
,,STEPNGMT,$0.91,,,,,,,,
,,WavesWAVES,$5.01,,,,,,,,
,,LoopringLRC,$0.38,,,,,,,,
,,StacksSTX,$0.37,,,,,,,,
,,ZilliqaZIL,$0.04,,,,,,,,
,,DashDASH,$42.18,,,,,,,,
,,PancakeSwapCAKE,$3.08,,,,,,,,
,,ArweaveAR,$13.21,,,,,,,,
,,Enjin CoinENJ,$0.49,,,,,,,,
,,Fei USDFEI,$0.99,,,,,,,,
,,KusamaKSM,$49.18,,,,,,,,
,,Convex FinanceCVX,$6.20,,,,,,,,
,,CeloCELO,$0.86,,,,,,,,
,,MinaMINA,$0.66,,,,,,,,
,,AmpAMP,$0.01,,,,,,,,
,,KavaKAVA,$1.64,,,,,,,,
,,CompoundCOMP,$49.01,,,,,,,,
,,TerraClassicUSDUSTC,$0.04,,,,,,,,
,,NEMXEM,$0.04,,,,,,,,
,,HoloHOT,$0.00,,,,,,,,
,,NexoNEXO,$0.61,,,,,,,,
,,GalaGALA,$0.05,,,,,,,,
,,1inch Network1INCH,$0.59,,,,,,,,
,,XDC NetworkXDC,$0.03,,,,,,,,
,,DecredDCR,$22.26,,,,,,,,
,,SynthetixSNX,$2.71,,,,,,,,
,,GateTokenGT,$3.94,,,,,,,,
,,CEEK VRCEEK,$0.38,,,,,,,,
,,GnosisGNO,$114.56,,,,,,,,
,,KadenaKDA,$1.58,,,,,,,,
,,QtumQTUM,$2.72,,,,,,,,
,,SymbolXYM,$0.05,,,,,,,,
